Time,X,Y,Z
14:16:01.607,0.125,0.765625,0.59375
14:16:01.608,0.09375,0.765625,0.59375
14:16:01.609,0.125,0.765625,0.59375
14:16:01.610,0.125,0.78125,0.59375
14:16:01.750,0.109375,0.78125,0.59375
14:16:01.750,0.109375,0.78125,0.609375
14:16:01.750,0.125,0.78125,0.609375
14:16:01.750,0.109375,0.78125,0.59375
14:16:01.751,0.109375,0.78125,0.59375
14:16:01.751,0.109375,0.78125,0.59375
14:16:01.951,0.15625,0.78125,0.59375
14:16:01.952,0.171875,0.765625,0.59375
14:16:01.952,0.140625,0.765625,0.609375
14:16:01.957,0.125,0.765625,0.609375
14:16:01.958,0.15625,0.78125,0.625
14:16:01.959,0.15625,0.78125,0.609375
14:16:02.151,0.109375,0.765625,0.59375
14:16:02.152,0.109375,0.78125,0.59375
14:16:02.161,0.125,0.78125,0.578125
14:16:02.162,0.140625,0.78125,0.578125
14:16:02.164,0.140625,0.765625,0.59375
14:16:02.165,0.125,0.765625,0.59375
14:16:02.350,0.109375,0.765625,0.59375
14:16:02.350,0.140625,0.78125,0.609375
14:16:02.350,0.140625,0.765625,0.609375
14:16:02.351,0.109375,0.78125,0.609375
14:16:02.351,0.109375,0.78125,0.59375
14:16:02.351,0.140625,0.765625,0.59375
14:16:02.501,0.15625,0.78125,0.609375
14:16:02.502,0.125,0.78125,0.578125
14:16:02.503,0.109375,0.78125,0.59375
14:16:02.510,0.140625,0.78125,0.609375
14:16:02.512,0.171875,0.78125,0.609375
14:16:02.513,0.125,0.78125,0.59375
14:16:02.700,0.125,0.78125,0.59375
14:16:02.700,0.125,0.765625,0.59375
14:16:02.700,0.140625,0.765625,0.59375
14:16:02.701,0.125,0.78125,0.59375
14:16:02.701,0.125,0.765625,0.59375
14:16:02.701,0.125,0.78125,0.59375
14:16:02.907,0.140625,0.78125,0.59375
14:16:02.909,0.125,0.765625,0.59375
14:16:02.910,0.140625,0.765625,0.609375
14:16:02.912,0.125,0.765625,0.59375
14:16:02.923,0.140625,0.765625,0.59375
14:16:02.924,0.15625,0.78125,0.609375
14:16:03.100,0.125,0.78125,0.59375
14:16:03.100,0.125,0.78125,0.59375
14:16:03.100,0.125,0.78125,0.59375
14:16:03.101,0.140625,0.78125,0.59375
14:16:03.101,0.140625,0.765625,0.59375
14:16:03.101,0.125,0.78125,0.59375
14:16:03.255,0.125,0.78125,0.59375
14:16:03.256,0.140625,0.78125,0.59375
14:16:03.258,0.140625,0.765625,0.59375
14:16:03.259,0.125,0.765625,0.59375
14:16:03.261,0.125,0.765625,0.59375
14:16:03.262,0.140625,0.765625,0.59375
14:16:03.450,0.140625,0.78125,0.609375
14:16:03.450,0.125,0.78125,0.609375
14:16:03.450,0.125,0.78125,0.59375
14:16:03.450,0.140625,0.78125,0.59375
14:16:03.451,0.140625,0.765625,0.59375
14:16:03.451,0.125,0.78125,0.578125
14:16:03.654,0.140625,0.765625,0.59375
14:16:03.656,0.15625,0.78125,0.59375
14:16:03.657,0.140625,0.78125,0.609375
14:16:03.659,0.125,0.765625,0.59375
14:16:03.660,0.125,0.78125,0.59375
14:16:03.662,0.15625,0.765625,0.59375
14:16:03.852,0.140625,0.78125,0.59375
14:16:03.855,0.140625,0.78125,0.578125
14:16:03.857,0.15625,0.78125,0.59375
14:16:03.858,0.140625,0.78125,0.609375
14:16:03.860,0.125,0.78125,0.59375
14:16:03.861,0.125,0.78125,0.59375
14:16:04.000,0.140625,0.765625,0.59375
14:16:04.000,0.140625,0.78125,0.59375
14:16:04.000,0.125,0.78125,0.59375
14:16:04.001,0.140625,0.765625,0.59375
14:16:04.001,0.15625,0.78125,0.609375
14:16:04.001,0.125,0.78125,0.59375
14:16:04.204,0.125,0.78125,0.59375
14:16:04.206,0.140625,0.765625,0.59375
14:16:04.207,0.140625,0.78125,0.59375
14:16:04.208,0.125,0.78125,0.59375
14:16:04.210,0.125,0.765625,0.59375
14:16:04.211,0.140625,0.765625,0.59375
14:16:04.400,0.15625,0.78125,0.59375
14:16:04.401,0.125,0.765625,0.59375
14:16:04.401,0.125,0.78125,0.59375
14:16:04.401,0.15625,0.78125,0.59375
14:16:04.401,0.140625,0.78125,0.59375
14:16:04.401,0.125,0.78125,0.59375
14:16:04.606,0.140625,0.78125,0.59375
14:16:04.607,0.15625,0.78125,0.59375
14:16:04.609,0.140625,0.765625,0.59375
14:16:04.610,0.125,0.765625,0.59375
14:16:04.612,0.140625,0.78125,0.59375
14:16:04.631,0.140625,0.78125,0.59375
14:16:04.799,0.125,0.78125,0.59375
14:16:04.799,0.140625,0.78125,0.59375
14:16:04.800,0.140625,0.765625,0.59375
14:16:04.800,0.15625,0.765625,0.59375
14:16:04.800,0.140625,0.78125,0.59375
14:16:04.800,0.125,0.765625,0.59375
14:16:04.958,0.15625,0.78125,0.59375
14:16:04.960,0.140625,0.78125,0.59375
14:16:04.961,0.125,0.78125,0.59375
14:16:04.968,0.140625,0.78125,0.59375
14:16:04.969,0.15625,0.78125,0.59375
14:16:04.971,0.140625,0.78125,0.59375
14:16:05.150,0.125,0.78125,0.59375
14:16:05.151,0.140625,0.78125,0.59375
14:16:05.151,0.15625,0.78125,0.59375
14:16:05.151,0.140625,0.78125,0.578125
14:16:05.151,0.140625,0.78125,0.578125
14:16:05.151,0.140625,0.78125,0.578125
14:16:05.350,0.140625,0.765625,0.578125
14:16:05.350,0.140625,0.78125,0.59375
14:16:05.350,0.15625,0.78125,0.59375
14:16:05.351,0.171875,0.765625,0.609375
14:16:05.351,0.25,0.78125,0.6875
14:16:05.351,0.265625,0.8125,0.71875
14:16:05.501,0.3125,0.765625,0.671875
14:16:05.501,0.421875,0.78125,0.734375
14:16:05.501,0.515625,0.8125,0.78125
14:16:05.502,0.5625,0.765625,0.765625
14:16:05.502,0.78125,0.78125,0.75
14:16:05.502,0.875,0.828125,0.875
14:16:05.703,0.953125,0.625,0.828125
14:16:05.705,1.109375,0.46875,0.75
14:16:05.707,1.546875,0.421875,0.875
